id,date,status,matchday,home_team,away_team,home_team_id,away_team_id,home_score,away_score,winner,season
444356,2023-11-05T14:00:00Z,FINISHED,11,Cagliari Calcio,Genoa CFC,104,107,2,1,HOME_TEAM,2023-2024
444361,2023-11-05T17:00:00Z,FINISHED,11,AS Roma,US Lecce,100,5890,2,1,HOME_TEAM,2023-2024
444357,2023-11-05T19:45:00Z,FINISHED,11,ACF Fiorentina,Juventus FC,99,109,0,1,AWAY_TEAM,2023-2024
444358,2023-11-06T17:30:00Z,FINISHED,11,Frosinone Calcio,Empoli FC,470,445,2,1,HOME_TEAM,2023-2024
444363,2023-11-06T19:45:00Z,FINISHED,11,Torino FC,US Sassuolo Calcio,586,471,2,1,HOME_TEAM,2023-2024
444372,2023-11-10T17:30:00Z,FINISHED,12,US Sassuolo Calcio,US Salernitana 1919,471,455,2,2,DRAW,2023-2024
444365,2023-11-10T19:45:00Z,FINISHED,12,Genoa CFC,Hellas Verona FC,107,450,1,0,HOME_TEAM,2023-2024
444369,2023-11-11T14:00:00Z,FINISHED,12,US Lecce,AC Milan,5890,98,2,2,DRAW,2023-2024
444367,2023-11-11T17:00:00Z,FINISHED,12,Juventus FC,Cagliari Calcio,109,104,2,1,HOME_TEAM,2023-2024
444370,2023-11-11T19:45:00Z,FINISHED,12,AC Monza,Torino FC,5911,586,1,1,DRAW,2023-2024
444371,2023-11-12T11:30:00Z,FINISHED,12,SSC Napoli,Empoli FC,113,445,0,1,AWAY_TEAM,2023-2024
444364,2023-11-12T14:00:00Z,FINISHED,12,ACF Fiorentina,Bologna FC 1909,99,103,2,1,HOME_TEAM,2023-2024
444373,2023-11-12T14:00:00Z,FINISHED,12,Udinese Calcio,Atalanta BC,115,102,1,1,DRAW,2023-2024
444368,2023-11-12T17:00:00Z,FINISHED,12,SS Lazio,AS Roma,110,100,0,0,DRAW,2023-2024
444366,2023-11-12T19:45:00Z,FINISHED,12,FC Internazionale Milano,Frosinone Calcio,108,470,2,0,HOME_TEAM,2023-2024
444383,2023-11-25T14:00:00Z,FINISHED,13,US Salernitana 1919,SS Lazio,455,110,2,1,HOME_TEAM,2023-2024
444374,2023-11-25T17:00:00Z,FINISHED,13,Atalanta BC,SSC Napoli,102,113,1,2,AWAY_TEAM,2023-2024
444381,2023-11-25T19:45:00Z,FINISHED,13,AC Milan,ACF Fiorentina,98,99,1,0,HOME_TEAM,2023-2024
444376,2023-11-26T11:30:00Z,FINISHED,13,Cagliari Calcio,AC Monza,104,5911,1,1,DRAW,2023-2024
444377,2023-11-26T14:00:00Z,FINISHED,13,Empoli FC,US Sassuolo Calcio,445,471,3,4,AWAY_TEAM,2023-2024
444378,2023-11-26T14:00:00Z,FINISHED,13,Frosinone Calcio,Genoa CFC,470,107,2,1,HOME_TEAM,2023-2024
444382,2023-11-26T17:00:00Z,FINISHED,13,AS Roma,Udinese Calcio,100,115,3,1,HOME_TEAM,2023-2024
444380,2023-11-26T19:45:00Z,FINISHED,13,Juventus FC,FC Internazionale Milano,109,108,1,1,DRAW,2023-2024
444379,2023-11-27T17:30:00Z,FINISHED,13,Hellas Verona FC,US Lecce,450,5890,2,2,DRAW,2023-2024
444375,2023-11-27T19:45:00Z,FINISHED,13,Bologna FC 1909,Torino FC,103,586,2,0,HOME_TEAM,2023-2024
444389,2023-12-01T19:45:00Z,FINISHED,14,AC Monza,Juventus FC,5911,109,1,2,AWAY_TEAM,2023-2024
444385,2023-12-02T14:00:00Z,FINISHED,14,Genoa CFC,Empoli FC,107,445,1,1,DRAW,2023-2024
444386,2023-12-02T17:00:00Z,FINISHED,14,SS Lazio,Cagliari Calcio,110,104,1,0,HOME_TEAM,2023-2024
444388,2023-12-02T19:45:00Z,FINISHED,14,AC Milan,Frosinone Calcio,98,470,3,1,HOME_TEAM,2023-2024
444387,2023-12-03T11:30:00Z,FINISHED,14,US Lecce,Bologna FC 1909,5890,103,1,1,DRAW,2023-2024
444384,2023-12-03T14:00:00Z,FINISHED,14,ACF Fiorentina,US Salernitana 1919,99,455,3,0,HOME_TEAM,2023-2024
444393,2023-12-03T14:00:00Z,FINISHED,14,Udinese Calcio,Hellas Verona FC,115,450,3,3,DRAW,2023-2024
444391,2023-12-03T17:00:00Z,FINISHED,14,US Sassuolo Calcio,AS Roma,471,100,1,2,AWAY_TEAM,2023-2024
444390,2023-12-03T19:45:00Z,FINISHED,14,SSC Napoli,FC Internazionale Milano,113,108,0,3,AWAY_TEAM,2023-2024
444392,2023-12-04T19:45:00Z,FINISHED,14,Torino FC,Atalanta BC,586,102,3,0,HOME_TEAM,2023-2024
444400,2023-12-08T19:45:00Z,FINISHED,15,Juventus FC,SSC Napoli,109,113,1,0,HOME_TEAM,2023-2024
444398,2023-12-09T14:00:00Z,FINISHED,15,Hellas Verona FC,SS Lazio,450,110,1,1,DRAW,2023-2024
444394,2023-12-09T17:00:00Z,FINISHED,15,Atalanta BC,AC Milan,102,98,3,2,HOME_TEAM,2023-2024
444399,2023-12-09T19:45:00Z,FINISHED,15,FC Internazionale Milano,Udinese Calcio,108,115,4,0,HOME_TEAM,2023-2024
444397,2023-12-10T11:30:00Z,FINISHED,15,Frosinone Calcio,Torino FC,470,586,0,0,DRAW,2023-2024
