match_id,date,home_team,away_team,season,home_form_wins,home_form_points,home_form_goals_for,home_form_goals_against,home_form_matches,away_form_wins,away_form_points,away_form_goals_for,away_form_goals_against,away_form_matches,home_win_rate_at_home,home_avg_goals_at_home,home_matches_at_home,away_win_rate_away,away_avg_goals_away,away_matches_away,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,h2h_matches,home_score,away_score,winner
444316,2023-10-02 18:45:00+00:00,ACF Fiorentina,Cagliari Calcio,2023-2024,2,8,8,9,5,0,1,2,9,5,0.5,2.5,2,0.0,0.3333333333333333,3,0,0,0,0.0,0,3,0,HOME_TEAM
444325,2023-10-06 16:30:00+00:00,Empoli FC,Udinese Calcio,2023-2024,1,3,1,13,5,0,3,3,8,5,0.25,0.25,4,0.0,0.6666666666666666,3,0,0,0,0.0,0,0,0,DRAW
444331,2023-10-06 18:45:00+00:00,US Lecce,US Sassuolo Calcio,2023-2024,2,7,4,6,5,3,9,11,9,5,0.75,1.25,4,0.3333333333333333,1.3333333333333333,3,0,0,0,0.0,0,1,1,DRAW
444328,2023-10-07 13:00:00+00:00,FC Internazionale Milano,Bologna FC 1909,2023-2024,4,12,15,3,5,2,9,5,1,5,0.75,3.0,4,0.0,0.3333333333333333,3,0,0,0,0.0,0,2,2,DRAW
444329,2023-10-07 16:00:00+00:00,Juventus FC,Torino FC,2023-2024,3,10,8,5,5,2,8,5,3,5,0.6666666666666666,1.6666666666666667,3,0.3333333333333333,1.3333333333333333,3,0,0,0,0.0,0,2,0,HOME_TEAM
444327,2023-10-07 18:45:00+00:00,Genoa CFC,AC Milan,2023-2024,1,5,8,7,5,4,12,9,7,5,0.3333333333333333,2.3333333333333335,3,0.75,2.0,4,0,0,0,0.0,0,0,1,AWAY_TEAM
444332,2023-10-08 10:30:00+00:00,AC Monza,US Salernitana 1919,2023-2024,1,6,3,5,5,0,1,1,11,5,0.3333333333333333,1.0,3,0.0,0.6666666666666666,3,0,0,0,0.0,0,3,0,HOME_TEAM
444326,2023-10-08 13:00:00+00:00,Frosinone Calcio,Hellas Verona FC,2023-2024,1,6,6,6,5,0,2,1,5,5,0.5,2.0,4,0.25,0.5,4,0,0,0,0.0,0,2,1,HOME_TEAM
444330,2023-10-08 13:00:00+00:00,SS Lazio,Atalanta BC,2023-2024,2,7,6,7,5,3,10,8,3,5,0.3333333333333333,1.0,3,0.5,1.5,4,0,0,0,0.0,0,3,2,HOME_TEAM
444324,2023-10-08 16:00:00+00:00,Cagliari Calcio,AS Roma,2023-2024,0,1,2,10,5,2,7,12,7,5,0.0,0.3333333333333333,3,0.0,1.0,3,0,0,0,0.0,0,1,4,AWAY_TEAM
444333,2023-10-08 18:45:00+00:00,SSC Napoli,ACF Fiorentina,2023-2024,2,8,11,5,5,3,10,9,7,5,0.6666666666666666,2.3333333333333335,3,0.5,1.75,4,0,0,0,0.0,0,1,3,AWAY_TEAM
444337,2023-10-21 13:00:00+00:00,Hellas Verona FC,SSC Napoli,2023-2024,0,2,1,4,5,2,8,11,6,5,0.3333333333333333,0.6666666666666666,3,0.5,2.25,4,0,0,0,0.0,0,1,3,AWAY_TEAM
444342,2023-10-21 16:00:00+00:00,Torino FC,FC Internazionale Milano,2023-2024,1,5,4,5,5,3,10,13,5,5,0.25,0.5,4,1.0,2.3333333333333335,3,0,0,0,0.0,0,0,3,AWAY_TEAM
444341,2023-10-21 18:45:00+00:00,US Sassuolo Calcio,SS Lazio,2023-2024,2,7,9,9,5,2,7,7,8,5,0.5,1.75,4,0.25,1.0,4,0,0,0,0.0,0,0,2,AWAY_TEAM
444339,2023-10-22 10:30:00+00:00,AS Roma,AC Monza,2023-2024,3,10,15,6,5,2,9,6,2,5,0.5,3.0,4,0.25,0.5,4,0,0,0,0.0,0,1,0,HOME_TEAM
444335,2023-10-22 13:00:00+00:00,Bologna FC 1909,Frosinone Calcio,2023-2024,1,7,5,2,5,2,8,8,7,5,0.5,1.25,4,0.0,0.3333333333333333,3,0,0,0,0.0,0,2,1,HOME_TEAM
444340,2023-10-22 13:00:00+00:00,US Salernitana 1919,Cagliari Calcio,2023-2024,0,1,1,12,5,0,1,2,12,5,0.0,0.5,4,0.0,0.25,4,0,0,0,0.0,0,2,2,DRAW
444334,2023-10-22 16:00:00+00:00,Atalanta BC,Genoa CFC,2023-2024,2,7,7,6,5,1,5,8,7,5,0.6666666666666666,1.6666666666666667,3,0.25,0.75,4,0,0,0,0.0,0,2,0,HOME_TEAM
444338,2023-10-22 18:45:00+00:00,AC Milan,Juventus FC,2023-2024,4,12,8,6,5,3,10,8,5,5,1.0,2.3333333333333335,3,0.5,1.75,4,0,0,0,0.0,0,0,1,AWAY_TEAM
444343,2023-10-23 16:30:00+00:00,Udinese Calcio,US Lecce,2023-2024,0,3,3,8,5,1,5,3,7,5,0.0,0.5,4,0.0,1.0,3,0,0,0,0.0,0,1,1,DRAW
444336,2023-10-23 18:45:00+00:00,ACF Fiorentina,Empoli FC,2023-2024,4,13,12,4,5,1,4,1,11,5,0.6666666666666666,2.6666666666666665,3,0.0,0.0,3,0,0,0,0.0,0,0,2,AWAY_TEAM
444346,2023-10-27 18:45:00+00:00,Genoa CFC,US Salernitana 1919,2023-2024,1,4,6,7,5,0,2,3,11,5,0.25,1.75,4,0.0,0.5,4,0,0,0,0.0,0,1,0,HOME_TEAM
444353,2023-10-28 13:00:00+00:00,US Sassuolo Calcio,Bologna FC 1909,2023-2024,2,7,7,7,5,2,9,7,3,5,0.4,1.4,5,0.0,0.75,4,0,0,0,0.0,0,1,1,DRAW
444350,2023-10-28 16:00:00+00:00,US Lecce,Torino FC,2023-2024,1,5,3,7,5,0,2,1,8,5,0.6,1.2,5,0.25,1.0,4,0,0,0,0.0,0,0,1,AWAY_TEAM
444348,2023-10-28 18:45:00+00:00,Juventus FC,Hellas Verona FC,2023-2024,3,10,6,4,5,0,1,2,7,5,0.75,1.75,4,0.2,0.6,5,0,0,0,0.0,0,1,0,HOME_TEAM
444344,2023-10-29 11:30:00+00:00,Cagliari Calcio,Frosinone Calcio,2023-2024,0,1,4,14,5,1,5,5,7,5,0.0,0.5,4,0.0,0.5,4,0,0,0,0.0,0,4,3,HOME_TEAM
444351,2023-10-29 14:00:00+00:00,AC Monza,Udinese Calcio,2023-2024,2,8,5,2,5,0,3,4,9,5,0.5,1.5,4,0.0,0.5,4,0,0,0,0.0,0,1,1,DRAW
444347,2023-10-29 17:00:00+00:00,FC Internazionale Milano,AS Roma,2023-2024,3,10,11,4,5,3,10,9,6,5,0.6,2.8,5,0.25,1.75,4,0,0,0,0.0,0,1,0,HOME_TEAM
444352,2023-10-29 19:45:00+00:00,SSC Napoli,AC Milan,2023-2024,3,10,12,5,5,4,12,7,2,5,0.5,2.0,4,0.8,1.8,5,0,0,0,0.0,0,2,2,DRAW
444345,2023-10-30 17:30:00+00:00,Empoli FC,Atalanta BC,2023-2024,2,7,3,4,5,3,10,7,3,5,0.2,0.2,5,0.4,1.6,5,0,0,0,0.0,0,0,3,AWAY_TEAM
444349,2023-10-30 19:45:00+00:00,SS Lazio,ACF Fiorentina,2023-2024,3,10,8,5,5,3,10,9,4,5,0.5,1.5,4,0.6,2.0,5,0,0,0,0.0,0,1,0,HOME_TEAM
444355,2023-11-03 19:45:00+00:00,Bologna FC 1909,SS Lazio,2023-2024,2,9,8,4,5,4,12,8,4,5,0.6,1.4,5,0.4,1.2,5,0,0,0,0.0,0,1,0,HOME_TEAM
444362,2023-11-04 14:00:00+00:00,US Salernitana 1919,SSC Napoli,2023-2024,0,1,2,11,5,3,10,14,7,5,0.0,0.8,5,0.6,2.4,5,0,0,0,0.0,0,0,2,AWAY_TEAM
444354,2023-11-04 17:00:00+00:00,Atalanta BC,FC Internazionale Milano,2023-2024,3,10,8,3,5,3,10,11,4,5,0.75,1.75,4,1.0,2.5,4,0,0,0,0.0,0,1,2,AWAY_TEAM
444360,2023-11-04 19:45:00+00:00,AC Milan,Udinese Calcio,2023-2024,3,10,8,4,5,0,4,5,8,5,0.75,1.75,4,0.0,0.6,5,0,0,0,0.0,0,0,1,AWAY_TEAM
444359,2023-11-05 11:30:00+00:00,Hellas Verona FC,AC Monza,2023-2024,0,1,2,7,5,2,8,5,2,5,0.25,0.75,4,0.2,0.4,5,0,0,0,0.0,0,1,3,AWAY_TEAM
444356,2023-11-05 14:00:00+00:00,Cagliari Calcio,Genoa CFC,2023-2024,1,4,8,15,5,2,7,7,6,5,0.2,1.2,5,0.2,0.6,5,0,0,0,0.0,0,2,1,HOME_TEAM
444361,2023-11-05 17:00:00+00:00,AS Roma,US Lecce,2023-2024,3,9,8,6,5,0,2,2,8,5,0.6,2.6,5,0.0,1.0,4,0,0,0,0.0,0,2,1,HOME_TEAM
444357,2023-11-05 19:45:00+00:00,ACF Fiorentina,Juventus FC,2023-2024,2,7,7,5,5,4,13,5,0,5,0.5,2.0,4,0.6,1.6,5,0,0,0,0.0,0,0,1,AWAY_TEAM
